,Estado,Fecha,Camas,CamasCovid
45485,Idaho,2022-07-25,1996.0,184.0
43902,Kansas,2022-07-25,4581.0,300.0
44224,Oregón,2022-07-25,5047.0,485.0
44691,Maryland,2022-07-25,8301.0,761.0
37832,Washington DC,2022-07-25,2655.0,205.0
40389,Oklahoma,2022-07-25,6267.0,446.0
45430,Nuevo Hampshire,2022-07-25,2111.0,93.0
34467,Pensilvania,2022-07-25,23528.0,1613.0
42514,Massachusetts,2022-07-25,13571.0,644.0
43971,Wyoming,2022-07-25,650.0,39.0
45480,Delaware,2022-07-25,2093.0,221.0
40328,Georgia,2022-07-25,16108.0,1786.0
44953,Nevada,2022-07-25,5836.0,478.0
41631,California,2022-07-25,46583.0,5149.0
43903,Colorado,2022-07-25,6825.0,367.0
42136,Nueva Jersey,2022-07-25,14801.0,1115.0
41718,Minnesota,2022-07-25,7313.0,453.0
37364,Puerto Rico,2022-07-25,5559.0,375.0
37128,Wisconsin,2022-07-25,7599.0,502.0
36150,Nebraska,2022-07-25,3032.0,231.0
35008,Maine,2022-07-25,2049.0,130.0
38659,Islas Virgenes,2022-07-25,102.0,4.0
38651,Luisiana,2022-07-25,8514.0,633.0
37813,Míchigan,2022-07-25,16019.0,950.0
42966,Illinois,2022-07-25,19547.0,1452.0
35375,Washington,2022-07-25,9121.0,852.0
45756,Utah,2022-07-25,3465.0,228.0
36376,Misuri,2022-07-25,11789.0,1093.0
36816,Nueva York,2022-07-25,34946.0,3191.0
36947,Iowa,2022-07-25,4482.0,271.0
44762,Montana,2022-07-25,1706.0,110.0
44707,Vermont,2022-07-25,951.0,31.0
43000,Virginia Occidental,2022-07-25,4541.0,385.0
39555,Indiana,2022-07-25,10574.0,802.0
43079,carolina del Sur,2022-07-25,8002.0,570.0
38846,Dakota del Sur,2022-07-25,1370.0,77.0
34155,Kentucky,2022-07-25,8282.0,724.0
34950,Connecticut,2022-07-25,5545.0,342.0
46584,Misisipi,2022-07-25,4982.0,476.0
325,Samoa Estadounidense,2022-07-25,67.0,4.0
42853,Alaska,2022-07-25,1335.0,89.0
42646,Florida,2022-07-24,44420.0,4343.0
46229,Delaware,2022-07-24,2548.0,215.0
34443,Iowa,2022-07-24,4584.0,270.0
43102,Massachusetts,2022-07-24,15359.0,685.0
42784,Nevada,2022-07-24,6398.0,474.0
42993,Wisconsin,2022-07-24,8396.0,510.0
37557,Vermont,2022-07-24,932.0,29.0
37650,Kentucky,2022-07-24,8913.0,709.0
40122,Idaho,2022-07-24,2146.0,171.0
45316,Nuevo Hampshire,2022-07-24,2214.0,102.0
45352,Rhode Island,2022-07-24,1956.0,59.0
40151,Nuevo México,2022-07-24,3025.0,221.0
42862,Puerto Rico,2022-07-24,5562.0,341.0
34389,Washington,2022-07-24,9887.0,861.0
39979,Carolina del Norte,2022-07-24,17705.0,1546.0
42606,Dakota del Norte,2022-07-24,1650.0,84.0
35146,Kansas,2022-07-24,4739.0,286.0
35939,Nueva Jersey,2022-07-24,16704.0,1105.0
36069,carolina del Sur,2022-07-24,8469.0,572.0
40275,Illinois,2022-07-24,20797.0,1421.0
40195,Pensilvania,2022-07-24,26152.0,1556.0
35677,Washington DC,2022-07-24,2621.0,186.0
41106,Dakota del Sur,2022-07-24,1448.0,66.0
38017,Alabama,2022-07-24,10549.0,849.0
41053,Georgia,2022-07-24,17577.0,1747.0
43723,Indiana,2022-07-24,11886.0,780.0
42012,Virginia,2022-07-24,12712.0,841.0
45119,Virginia Occidental,2022-07-24,4386.0,371.0
46072,Arizona,2022-07-24,12045.0,828.0
41658,Colorado,2022-07-24,7782.0,340.0
39456,Nueva York,2022-07-24,37721.0,3074.0
44943,Utah,2022-07-24,4136.0,231.0
46177,Oklahoma,2022-07-24,6864.0,453.0
326,Islas Virgenes,2022-07-24,81.0,3.0
42049,Ohio,2022-07-24,21337.0,1437.0
39530,Misisipi,2022-07-24,5410.0,390.0
35519,Maine,2022-07-24,2134.0,132.0
35735,Míchigan,2022-07-24,16974.0,924.0
38663,Connecticut,2022-07-24,6007.0,364.0
45458,Minnesota,2022-07-24,7586.0,443.0
35898,Montana,2022-07-24,1968.0,136.0
36935,Wyoming,2022-07-24,789.0,42.0
37322,Tennessee,2022-07-24,14414.0,901.0
46145,Luisiana,2022-07-24,8339.0,546.0
40521,Arkansas,2022-07-24,6065.0,444.0
36785,Oregón,2022-07-24,5174.0,491.0
44502,Hawái,2022-07-24,2059.0,182.0
42298,California,2022-07-24,48695.0,5096.0
45133,Nebraska,2022-07-24,3226.0,219.0
24677,Samoa Estadounidense,2022-07-24,57.0,5.0
35221,Texas,2022-07-24,47834.0,4002.0
34649,Alaska,2022-07-24,1457.0,92.0
39321,Maryland,2022-07-24,9232.0,772.0
43310,Misuri,2022-07-24,13409.0,1067.0
